origen,id_origen,cantidad_original,cantidad_redondeada,producto
detalle_pecosa,4849,43.188,43,
detalle_pecosa,4850,42.480,42,
detalle_pecosa,4851,26.904,27,
detalle_pecosa,4852,28.320,28,
detalle_pecosa,4853,46.020,46,
detalle_pecosa,4854,24.780,25,
detalle_pecosa,4855,47.436,47,
detalle_pecosa,4856,16.992,17,
detalle_pecosa,4857,24.072,24,
detalle_pecosa,4858,26.904,27,
detalle_pecosa,4859,44.604,45,
detalle_pecosa,4860,38.940,39,
detalle_pecosa,4861,31.860,32,
detalle_pecosa,4862,35.400,35,
detalle_pecosa,4863,31.860,32,
detalle_pecosa,4864,46.020,46,
detalle_pecosa,4865,26.196,26,
detalle_pecosa,4866,42.480,42,
detalle_pecosa,4867,14.160,14,
detalle_pecosa,4868,23.364,23,
detalle_pecosa,4869,25.488,25,
detalle_pecosa,4870,24.780,25,
detalle_pecosa,4871,18.408,18,
detalle_pecosa,4872,36.108,36,
detalle_pecosa,4873,24.780,25,
detalle_pecosa,4874,28.320,28,
detalle_pecosa,4875,28.320,28,
detalle_pecosa,4876,36.108,36,
detalle_pecosa,4877,36.108,36,
detalle_pecosa,4878,22.656,23,
detalle_pecosa,4879,43.188,43,
detalle_pecosa,4880,26.196,26,
detalle_pecosa,4881,32.568,33,
detalle_pecosa,4882,29.028,29,
detalle_pecosa,4883,26.904,27,
detalle_pecosa,4884,19.824,20,
detalle_pecosa,4885,37.524,38,
detalle_pecosa,4886,44.604,45,
detalle_pecosa,4887,58.056,58,
detalle_pecosa,4888,29.028,29,
detalle_pecosa,5497,19.980,20,
detalle_pecosa,5498,31.320,31,
detalle_pecosa,5499,35.100,35,
detalle_pecosa,5500,22.140,22,
detalle_pecosa,5501,21.060,21,
detalle_pecosa,5502,29.160,29,
detalle_pecosa,5503,13.500,14,
detalle_pecosa,5505,17.820,18,
detalle_pecosa,5506,25.920,26,
detalle_pecosa,5507,17.280,17,
detalle_pecosa,5508,10.800,11,
detalle_pecosa,5509,21.060,21,
detalle_pecosa,5510,21.600,22,
detalle_pecosa,5511,10.800,11,
detalle_pecosa,5512,21.600,22,
detalle_pecosa,5513,18.900,19,
detalle_pecosa,5514,25.920,26,
detalle_pecosa,5515,17.280,17,
detalle_pecosa,5516,31.860,32,
detalle_pecosa,5517,28.080,28,
detalle_pecosa,5518,24.840,25,
detalle_pecosa,5519,16.200,16,
detalle_pecosa,5520,17.280,17,
detalle_pecosa,5521,13.500,14,
detalle_pecosa,5522,28.620,29,
detalle_pecosa,5523,19.440,19,
detalle_pecosa,5524,16.740,17,
detalle_pecosa,5525,12.960,13,
detalle_pecosa,5526,22.140,22,
detalle_pecosa,5527,25.380,25,
detalle_pecosa,5528,28.080,28,
detalle_pecosa,5529,19.440,19,
detalle_pecosa,5530,21.060,21,
detalle_pecosa,5531,37.260,37,
detalle_pecosa,5532,21.600,22,
detalle_pecosa,5533,18.900,19,
detalle_pecosa,5534,17.820,18,
detalle_pecosa,5535,19.980,20,
detalle_pecosa,5536,19.980,20,
detalle_pecosa,5538,26.460,26,
detalle_pecosa,5539,32.940,33,
detalle_pecosa,5540,32.400,32,
detalle_pecosa,5541,20.520,21,
detalle_pecosa,5542,21.600,22,
detalle_pecosa,5543,35.100,35,
detalle_pecosa,5544,18.900,19,
detalle_pecosa,5545,36.180,36,
detalle_pecosa,5546,12.960,13,
detalle_pecosa,5547,18.360,18,
detalle_pecosa,5548,20.520,21,
detalle_pecosa,5549,34.020,34,
detalle_pecosa,5550,29.700,30,
detalle_pecosa,5551,24.300,24,
detalle_pecosa,5553,24.300,24,
detalle_pecosa,5554,35.100,35,
detalle_pecosa,5555,19.980,20,
detalle_pecosa,5556,32.400,32,
detalle_pecosa,5557,10.800,11,
detalle_pecosa,5558,17.820,18,
detalle_pecosa,5559,19.440,19,
detalle_pecosa,5560,18.900,19,
detalle_pecosa,5561,14.040,14,
detalle_pecosa,5562,27.540,28,
detalle_pecosa,5563,18.900,19,
detalle_pecosa,5564,21.600,22,
detalle_pecosa,5565,21.600,22,
detalle_pecosa,5566,27.540,28,
detalle_pecosa,5567,27.540,28,
detalle_pecosa,5568,17.280,17,
detalle_pecosa,5569,32.940,33,
detalle_pecosa,5570,19.980,20,
detalle_pecosa,5571,24.840,25,
detalle_pecosa,5572,22.140,22,
detalle_pecosa,5573,20.520,21,
detalle_pecosa,5574,15.120,15,
detalle_pecosa,5575,28.620,29,
detalle_pecosa,5576,34.020,34,
detalle_pecosa,5577,44.280,44,
detalle_pecosa,5578,22.140,22,
detalle_pecosa,6349,53.136,53,
detalle_pecosa,6350,58.320,58,
detalle_pecosa,6351,67.392,67,
detalle_pecosa,6352,64.800,65,
detalle_pecosa,6353,54.432,54,
detalle_pecosa,6354,69.984,70,
detalle_pecosa,6355,32.400,32,
detalle_pecosa,6356,51.840,52,
detalle_pecosa,6357,38.880,39,
detalle_pecosa,6358,62.208,62,
detalle_pecosa,6359,34.992,35,
detalle_pecosa,6360,38.880,39,
detalle_pecosa,6361,50.544,51,
detalle_pecosa,6362,29.808,30,
detalle_pecosa,6363,25.920,26,
detalle_pecosa,6364,36.288,36,
